,count,id,brunetIndex,honoreStatistic,questionRatio,articleLength,avgWordLength,label
0,69,0,6062.192900736556,8.20251897558971,0.0005844535359438924,456,7.504385964912281,1.0
1,55,1,5270.783772585806,8.096436764739114,0.0006854009595613434,392,7.4438775510204085,0.0
2,84,2,9417.6192676512,8.650421089715154,0.0007485029940119761,708,7.548022598870056,1.0
3,45,3,4129.526839751665,7.798622096447159,0.0,322,7.316770186335404,1.0
4,7,4,1209.5852931871752,6.548219102762372,0.0,90,7.7555555555555555,1.0
5,10,5,1380.4505408731418,6.674561391814426,0.0012626262626262627,114,6.947368421052632,0.0
6,28,6,3532.4408661802145,7.629646648836364,0.0005015045135406219,300,6.6466666666666665,1.0
7,47,7,6275.475713343175,8.27957937758772,0.0016849199663016006,483,7.372670807453416,0.0
8,85,8,9214.313495999364,8.567315800819449,0.0005706676811869887,710,7.404225352112676,0.0
9,144,9,13188.552871850958,8.940952436680043,0.0004050222762251924,1034,7.163442940038685,0.0
10,70,10,12277.798173227155,8.848939995030118,0.0007176690110521028,897,7.767001114827202,0.0
11,61,11,4024.360621421826,7.807916628926408,0.0017421602787456446,316,7.265822784810126,0.0
12,51,12,4063.901377641631,7.769800996003896,0.0008718395815170009,300,7.6466666666666665,1.0
13,17,13,2018.3860180948209,7.125908622115086,0.0008635578583765112,152,7.618421052631579,1.0
14,369,14,41303.00260938626,10.07131866317163,0.000622997508009968,3111,7.223400835744134,1.0
15,46,15,7594.056702908646,8.420717816907114,0.0,595,7.168067226890757,0.0
16,84,16,9537.45424336233,8.59637398929068,0.0003695491500369549,740,7.313513513513514,0.0
17,30,17,3339.518808420476,7.6136654920151985,0.0005277044854881266,252,7.51984126984127,1.0
18,135,18,14143.2273531162,9.110844975770755,0.0002599090318388564,1104,6.970108695652174,1.0
19,19,19,1981.7831628443967,7.036148493750536,0.0008795074758135445,168,6.767857142857143,0.0
20,20,20,2708.030121993346,7.3427791893318455,0.0006472491909385113,218,7.087155963302752,1.0
21,28,21,2394.9372351680354,7.247294236974135,0.0007358351729212656,191,7.115183246073299,0.0
22,8,22,1075.4267471196067,6.4599603437166575,0.0,96,6.427083333333333,0.0
23,38,23,3228.602902726047,7.623967732473078,0.0005428881650380022,264,6.9772727272727275,1.0
24,57,24,6099.247807885629,8.182102666458334,0.0,471,7.348195329087049,0.0
25,66,25,6018.267680148,8.156402647143818,0.0,448,7.544642857142857,1.0
26,25,26,3512.551692216611,7.636802013880437,0.000499001996007984,266,7.533834586466165,0.0
